ID1,ID2,Distance
5,72,0.0720434
5,73,0.062604
5,74,0.0627582
5,75,0.0765316
5,76,0.0664279
5,77,0.114194
5,78,0.0571978
5,79,0.110303
5,80,0.085734
5,81,0.06768
5,82,0.123122
5,83,0.066108
5,84,0.0738298
5,85,0.0637045
5,86,0.100111
5,87,0.0780739
5,88,0.125966
5,89,0.130582
5,90,0.072832
5,91,0.0720153
5,92,0.10693
5,93,0.0619895
5,94,0.118866
5,95,0.066117
5,96,0.0718508
5,97,0.0893349
6,7,0.107841
6,8,0.100199
6,9,0.0622828
6,10,0.0840046
6,11,0.115042
6,12,0.0915781
6,13,0.0671204
6,14,0.107983
6,15,0.118312
6,16,0.0836997
6,17,0.0848871
6,18,0.104247
6,19,0.0852364
6,20,0.0761865
6,21,0.0838276
6,22,0.140445
6,23,0.136408
6,24,0.0800476
6,25,0.0783374
6,26,0.0882162
6,27,0.0734599
6,28,0.070785
6,29,0.0788325
6,30,0.12516
6,31,0.0662231
6,32,0.0728884
6,33,0.0667181
6,34,0.0676202
6,35,0.0696293
6,36,0.0697306
6,37,0.0591404
6,38,0.123632
6,39,0.0672903
6,40,0.115388
6,41,0.0680059
6,42,0.113327
6,43,0.0670968
6,44,0.11407
6,45,0.0732896
6,46,0.0694444
6,47,0.0842511
6,48,0.0966791
6,49,0.074661
6,50,0.0836844
6,51,0.0899285
6,52,0.0844638
6,53,0.067651
6,54,0.0700756
6,55,0.0950961
6,56,0.0815581
6,57,0.123996
6,58,0.138369
6,59,0.125958
6,60,0.0907534
6,61,0.126701
6,62,0.0683806
6,63,0.0666516
6,64,0.0683797
6,65,0.090758
6,66,0.0677005
6,67,0.119498
6,68,0.0573784
6,69,0.0876782
6,70,0.0964628
6,71,0.0817845
6,72,0.0989328
6,73,0.0728125
6,74,0.092431
6,75,0.0720098
6,76,0.0607095
6,77,0.12472
6,78,0.0631032
6,79,0.0967634
6,80,0.103577
6,81,0.103368
6,82,0.148812
6,83,0.0696678
6,84,0.0720131
6,85,0.0913509
6,86,0.120642
6,87,0.0750068
6,88,0.137219
6,89,0.140125
6,90,0.0645975
6,91,0.0800285
6,92,0.126807
6,93,0.0750667
6,94,0.141412
6,95,0.0857525
6,96,0.0967553
6,97,0.0992026
7,8,0.00932878
7,9,0.108981
7,10,0.129339
7,11,0.145639
7,12,0.0703138
7,13,0.10431
7,14,0.0979247
7,15,0.114291
7,16,0.111108
7,17,0.116242
7,18,0.0959454
7,19,0.124057
7,20,0.127575
7,21,0.11934
7,22,0.120941
7,23,0.127167
7,24,0.106095
7,25,0.123907
7,26,0.128696
7,27,0.111884
7,28,0.11234
7,29,0.12003
7,30,0.107519
7,31,0.0976293
7,32,0.107153
7,33,0.117064
7,34,0.11255
7,35,0.111419
7,36,0.10054
7,37,0.0986758
7,38,0.107872
7,39,0.1056
7,40,0.130455
7,41,0.0942246
7,42,0.109834
7,43,0.101479
7,44,0.102471
7,45,0.115877
7,46,0.109343
7,47,0.131374
7,48,0.12577
7,49,0.12279
7,50,0.102591
7,51,0.134804
7,52,0.13046
7,53,0.10934
7,54,0.0910053
7,55,0.116301
7,56,0.126155
7,57,0.110943
7,58,0.131835
7,59,0.108927
7,60,0.133409
7,61,0.102124
7,62,0.101556
7,63,0.0988982
7,64,0.101546
7,65,0.123287
7,66,0.0937028
7,67,0.105942
7,68,0.109021
7,69,0.133456
7,70,0.104804
7,71,0.125771
7,72,0.10871
7,73,0.0871142
7,74,0.0954878
7,75,0.109399
7,76,0.0840282
7,77,0.103885
7,78,0.0809054
7,79,0.117891
7,80,0.119809
7,81,0.107923
7,82,0.127704
7,83,0.093563
7,84,0.116483
7,85,0.12388
7,86,0.128725
7,87,0.122353
7,88,0.1081
7,89,0.141328
7,90,0.0834316
7,91,0.0987477
7,92,0.123893
7,93,0.0773019
7,94,0.131129
7,95,0.103453
7,96,0.114741
7,97,0.10821
8,9,0.095863
8,10,0.112697
8,11,0.126952
8,12,0.0687636
8,13,0.090348
8,14,0.0827999
8,15,0.105732
8,16,0.104302
8,17,0.101841
8,18,0.0894694
8,19,0.107213
8,20,0.106661
8,21,0.105828
8,22,0.117485
8,23,0.117539
8,24,0.0890571
8,25,0.105393
8,26,0.112808
8,27,0.0991833
8,28,0.0964189
8,29,0.100419
8,30,0.10163
8,31,0.0976293
8,32,0.101377
8,33,0.0961298
8,34,0.0935015
8,35,0.0960804
8,36,0.0947213
8,37,0.0929944
8,38,0.103048
8,39,0.089234
8,40,0.117093
8,41,0.0943913
8,42,0.094411
8,43,0.093248
8,44,0.0866908
8,45,0.0956374
8,46,0.0948236
8,47,0.114771
8,48,0.10903
8,49,0.103223
8,50,0.0911978
8,51,0.11238
8,52,0.114074
8,53,0.0949055
8,54,0.0851952
8,55,0.0964658
8,56,0.11175
8,57,0.106711
8,58,0.126409
8,59,0.104639
8,60,0.112544
8,61,0.0981478
8,62,0.0957833
8,63,0.0940767
8,64,0.0957788
8,65,0.116329
8,66,0.0871509
8,67,0.0992217
8,68,0.091229
8,69,0.117321
8,70,0.104804
8,71,0.110031
8,72,0.10871
8,73,0.0871142
8,74,0.0954878
8,75,0.0929845
8,76,0.0840282
8,77,0.095695
8,78,0.0809054
8,79,0.110948
8,80,0.119809
8,81,0.107923
8,82,0.127704
8,83,0.093563
8,84,0.107306
8,85,0.109532
8,86,0.128725
8,87,0.107988
8,88,0.1081
8,89,0.131242
8,90,0.0834316
8,91,0.0987477
8,92,0.123893
8,93,0.0773019
8,94,0.131129
8,95,0.103453
8,96,0.114741
8,97,0.10821
9,10,0.0742807
9,11,0.088379
9,12,0.0690243
9,13,0.0611737
9,14,0.0879641
9,15,0.102997
9,16,0.069277
9,17,0.0778236
9,18,0.0889702
9,19,0.0820576
9,20,0.0787649
9,21,0.0798207
9,22,0.13049
9,23,0.129054
9,24,0.0855582
9,25,0.0669206
9,26,0.0818193
9,27,0.0663251
9,28,0.0615481
